suffixTitle,generationalSuffix,prefix,customer_ID,first_name,last_name,CompleteName,gender,email,Address1,Address2,city,state,zipcode,country,Race,Birth_Date,Marrital_Status,Number_of_Children,Store_Membership_Card,Occupation,Annual_Income,Largest_Bill_Amount,customer_Since,SSN,Last_Transaction,IntBankAccNo,CreditcardNo,CreditCard_type,password,mean_Transaction_Amount
MSW,,Mr.,01GYWN8W0XADR2KK9PAWX452KX,Karla,Rigney,,Trans Woman,,Room 1027,15 Kropf Cout,Beaufort,Alabama,10155,US,,,Married,4,nZRgjcHTfbvtbtn,VP Accounting,42273,75401,4/7/17,633-72-4100,8/10/08,GT61 F1BI JL2R BL66 XANL PLE3 YKUF,5.10E+15,jcb,XPZolizL,
PHD,,Mr.,01GYWN8W1270C2KDHVVQ2G2E7M,Carlina,Lampen,,Gender Fluid,,17th Floor,11 Kenwood Plz,Saint Paul,Kansas,12237,US,,,Engaged,2,ATavtk9btbte,Computer Systems Analyst II,53282,12576,2/21/10,297-01-2671,10/8/22,MT66 ZJXU 4269 1YNN Y2JI TINM OQK9 L6P,3.74E+14,switch,HRI1IO,
IQCP,,Dr.,01GYWN8W1565D9D4EEGM40B10S,Rusty,Munkley,,Transsexual Woman,,4th Fl,094 Chinook Ter,,,78721,US,,,Separated,1,B4Tu8j2NjObgbjm,Assistant Manager Sr,50313,21448,10/8/12,521-38-9703,10/21/09,SI73 2229 4947 8652 396,3.06E+13,jcb,zclfdQRSbDS,
MPHIL,,Dr.,01GYWN8W18GRTXFEZBDBGS3PV7,Deina,Boomes,,Trans Woman,,Apt 1809,985 Moose Ps,Tuscaloosa,Florida,92121,US,,,Unknown,1,bcL636BHEVgnjm,Senior Cost Accountant JR,17205,41594,9/20/09,106-25-0726,3/28/05,FI77 2953 3926 6349 91,5.60E+15,jcb,NkF6yAb8u,
MFA,,Dr.,01GYWN8W5T7WHJYQ41NPZ2GJJT,Stodd,McMearty,,Cisgender Man,,5th Fl,101 Utah Cross,Canton,,30356,US,,,Separated,1,ZmtHX5yMPlljukuj,Internal Auditor SR,27452,7783,1/27/10,551-57-6901,7/3/17,FR59 0124 6500 28CV 0SIC AUAZ T68,4.98E+12,laser,PKzrayHDbiyq,
PsyD,,Prof.,01GYWN8W5XWVGQ0HC0B8PW84B2,George,Costa,,Neutrois,,Su 2,90 Shasta Cout,Houston,Colorado,33416,US,,,Single,8,Oao5grhnyn,Human Resources Manager SR,53694,85262,5/26/09,621-52-3991,10/6/18,CH94 6104 9WSC SVVO 3VH1 D,4.84E+15,jcb,fZec6qY,
PHD,,Prof.,01GYWN8W61RPPSXCET95WZ5RZ5,Virgie,C.well,,Pangender,,PO B 35860,4 Continental Ave,Rochester,District of Columbia,11231,US,,,Engaged,8,nKOPgCKOlhhnynr,Executive Secretary ||,28975,57605,2/12/10,737-71-7235,12/18/12,FR84 3883 4212 772O TU0H GCKR X58,3.59E+15,laser,7HzZjIz7h,
EdD,,Ms,01GYWN8W63N677PPEY56F6B577,Vivian,Macguire,,Transsexual Woman,,Su 97,1862 Reindahl Ave,,,14619,US,,,Engaged,7,Lj8F0KJ1Qbgdbgb,Structural Engineer Jr,42273,86185,7/21/17,617-02-4454,11/8/06,KW36 FEBX SGE6 LBB3 Z6MZ 4YVO KCXB YH,5.57E+15,maestro,Nigxqy0X0,
IQCP,,Ms,01GYWN8W66MMVQ0AESZ204Z0W0,Lamb,Deverock,,FTM,,5th Fl,1178 Spring Rd,Portland,,71137,US,,,Engaged,8,2ze1L0hnyr,Account ExecutiveJR,53282,75401,4/12/21,847-87-1943,10/26/18,GR45 2615 256Y KUJR KEHA MWWA YOL,3.58E+15,visa-electron,XPZolizL,
MFA,,Prof.,01GYWN8W6ACPGHXBSKR51VYNCE,Christophe,Gold,,Female to Male,,6th Fl,6690 Mcguire Pl,Charlotte,,43605,US,,,Unknown,8,IiC65CxF8ghnbnh,Statistician II,50313,12576,8/28/17,725-81-0288,11/2/00,IL56 2213 7809 2169 1605 393,3.74E+14,jcb,HRI1IO,
IQCP,,Mr.,01GYWN8W6D9NFTXNTS147MAMEJ,Rrio,Kohtler,,Female to Male,,Rm 645,188 Melvin Cross,Pasadena,California,25305,US,,,Engaged,2,MuYFActnhnyn,Teacher Asst,17205,21448,1/13/06,694-85-5798,6/1/12,IS83 1884 6415 7460 8432 6110 91,3.55E+15,americanexpress,cViy3old,
MPHIL,,Ms,01GYWN8W6G2BEG9MSJB1Q3R7DX,Tess,H.ford,,Cisgender Woman,,PO Box 56189,7 2nd Dr,,,95118,US,,,Married,4,LomiRR9eoQyMgb,Senior Cost Accountant Sr,27452,41594,2/10/00,781-73-6772,3/3/02,FR12 6908 7843 72HK B48F EVDY G63,5.11E+15,jcb,UJosNNW6Q0n,
DDS,,Mr.,01GYWN8W6JMW6AAYFS9TGWH60S,Ophelie,Volk,,Trans Woman,,PO Box 55979,280 Rutledge Parkway,Washington,California,92176,US,,,Engaged,3,PlZzGTQZpLfbdb,Recruiting Manager Sr,53694,7783,10/29/15,449-55-8128,10/16/13,RS57 1803 2494 6634 0235 08,4.91E+17,diners-club-enroute,M6i8eji2wGU,
PharmD,,Prof.,01GYWN8W6NWQ94EXQ233D5V662,Austin,Zecchii,,Androgynous,,Suite 47,029 Luster Trail,San Diego,Virginia,28210,US,,,Divorced,6,STtePtFBWVwEfvfg,Structural Engineer Jr,56424,88043,4/7/17,418-41-3366,7/24/19,SK40 1037 6335 5871 5934 9449,6.71E+15,jcb,nO6WkUbxQ,
PHD,,Dr.,01GYWN8W6RKFKW56YPDJT23G3Q,Ruggiero,Symson,,Cisgender Man,,Apt 1519,81 Northridge Pk,Washington,Alabama,15230,US,,,Separated,3,2d4NbBYwH6bgf,Product Engineer,99819,29824,2/21/10,735-03-9363,5/21/12,LI06 2297 1QWJ 313P KPP0 X,3.56E+15,jcb,2q9Gwg6BF,
MSW,,Ms,01GYWN8W6WS9KNRFGP5GZQY82Q,Whita,Anfosso,,Neither,,PO Box 70923,90 Shasta Cout,,Kansas,79118,US,,,Separated,10,j1yR6kiafgbgb,Product Engineer,71338,50468,10/8/12,840-88-1876,2/19/16,HR20 8400 2600 8836 3971 1,5.60E+16,switch,5mLtbjQ0,
MFA,,Mr.,01GYWN8W6ZHCWV7XRRMB55ZW3A,Marji,Tarpey,,Transgender,,Rm 622,4 Continental Ave,,,31205,US,,,Married,,FGhvmzMKfbg,Computer Systems Analyst IV,28975,79736,9/20/09,818-50-6574,8/22/11,IT24 A909 5241 7082 ZICY WUXH E2G,3.57E+15,jcb,HFhs5JQVRDM,
MFA,,Mr.,01GYWN8W71KW35D2Q9DH1SFN17,Modesta,Fennessy,,Cisgender,,Rm 1888,1862 Reindahl Ave,Pompano Beach,Florida,33320,US,,,Single,,OcdwHafdbgd,Statistician IV,42273,20695,1/27/10,438-09-7917,12/21/17,IT22 N587 0994 166J 2NNR 6CAX VSK,3.58E+15,jcb,cDebIrCzQMZ,
PHD,,Ms,01GYWN8VXZHQEZG1A9F76A60CC,Minna,Pile,,Non-binary,,Suite 58,1178 Springs Rd,,,27116,US,,,Married,,64BWbDvfs,Librarian,53282,69155,5/26/09,232-79-3427,1/6/01,EE97 0157 9536 5059 8986,6.39E+15,laser,zclfdQRSbDS,
EdD,,Mr.,01GYWN8VYP151092W015PY7MGY,Devi,Delacourt,,Transsexual Man,,17th Fl,9379 Schurz Pl,Tyler,Colorado,73197,US,,,Divorced,,ZY7yX81togbgf,Junior Executive,50313,58143,2/12/10,247-57-8558,1/25/00,FR28 6550 2240 23XE FYNG E3RX 780,4.04E+12,diners-club-carte-blanche,NkF6yAb8u,
MPHIL,,Ms,01GYWN8VYV8Z72C4ZB9FZ7D01G,Felicity,De la Perrelle,,Transmasculine,,Rm 645,83043 Eliot Rd,South Lake Tahoe,District of Columbia,92176,US,,,Engaged,,SOmNA6EmAn8fgbfgdF,Registered Nurse,17205,97871,7/21/17,524-54-7701,2/9/03,MT91 KCKG 0708 7STO EVL2 W5DT TATA MTE,3.55E+15,jcb,PKzrayHDbiyq,
PharmD,,Mr.,01GYWN8VZ0MNSM74KCE0YZNS6Q,Ertha,Kittman,,Pangender,,PO Box 56189,24476 Caliangt Ave,Raleigh,,28210,US,,,Married,,BlmxCStQajgbfdwM,Director of Sales,27452,8250,4/12/21,582-42-2093,8/31/21,AT09 1296 2808 6729 4216,4.51E+15,laser,fZec6qY,
MPHIL,,Ms,01GYWN8VZ547BWHTDWCDPNDTXK,Ginnie,Filipchikov,,Two-Spirit,,PO Box 55979,60475 Oriole Rd,,,63158,US,,,Unknown,,4WVnMgfbAttXt,Accountant III,53694,4472,8/28/17,836-07-1391,8/10/08,LU51 959F NNHU HAAM MW7M,5.61E+16,maestro,7HzZjIz7h,
PHD,,Dr.,01GYWN8VZA0XJX95E3GEECJY75,Daron,Brun,,Gender Questioning,,Suite 47,1894 Schiller Ave,Dallas,Texas,18763,US,,,Single,,7lEzSZYbgfb0Dm,Sr. Project Manager,28975,85262,1/13/06,785-24-9337,10/8/22,FR80 6317 5329 09AM USRV RUIP N66,4.03E+15,visa-electron,Nigxqy0X0,
MPHIL,,Mr.,01GYWN8VZFY3G2FEZDCBEE8NA5,Caty,Jeffer,,Female to Male,,Apt 1519,09346 Arizona Junc,Jacksonville,Arizona,98424,US,,,Married,,KZHXisEbgfg2vQe6,Engineer III,42273,57605,4/29/22,633-72-4100,10/21/09,FI57 5269 2002 6682 93,2.02E+14,jcb,XPZolizL,
PHD,,Dr.,01GYWN8VZMH8KBS30QT5KESRHD,Dane,Jouannot,,Trans Woman,,PO Box 70923,74886 Raven Dr,,,52245,US,,,Single,,ISRcjKkgbgfO2a,Operator,53282,86185,10/29/12,297-01-2671,3/28/05,PT07 1629 6341 3164 1357 0263 4,6.30E+17,americanexpress,HRI1IO,
IQCP,,Ms,01GYWN8VZTDXX1H1MV5BB18BC9,Robb,Fir,,Gender Fluid,,Rm 622,74 Kenwood Ps,Los Angeles,Florida,88006,US,,,Unknown,,KKjDyJZgb9Y,Occupational Therapist,50313,75401,7/3/13,118-16-9511,7/3/17,HR20 8400 2600 8836 3971 1,3.58E+15,jcb,cViy3old,
EdD,,Prof.,01GYWN8W04VYPXWWSBDGJQHXYA,Frayda,Casini,,Male to Female,,Rm 1888,12054 Kinsman Alley,Pasadena,,25389,US,,,Single,,3LZS4gbgdgg,Database Administrator I,17205,12576,12/11/16,253-15-6873,10/6/18,IT24 A909 5241 7082 ZICY WUXH E2G,5.02E+15,diners-club-enroute,UJosNNW6Q0n,
