suffixTitle,generationalSuffix,prefix,customer_ID,first_name,last_name,CompleteName,gender,email,Address1,Address2,city,state,zipcode,country,Race,Birth_Date,Marrital_Status,Number_of_Children,Store_Membership_Card,Occupation,Annual_Income,Largest_Bill_Amount,customer_Since,SSN,Last_Transaction,IntBankAccNo,CreditcardNo,CreditCard_type,password,mean_Transaction_Amount
PHD,,Ms,01GY0YYXFDPYNDKQKKY4DWPMXG,Raviv,Bollen,"Ms Raviv Bollen ,PHD",Gender Questioning,Raviv.Bollen@pilog.com,Room 539,08595 Surrey Plaza,Washington,District of Columbia,20575,United States,Chippewa,9/13/56,Married,3,AU0HTcgz,Operator,35048,,5/22/17,685-76-2988,4/9/10,KZ73 032X YGDM BKO0 W90D,6.76E+18,switch,HSsbKcG,
PHD,,Dr.,01GY0YYXFJ2XBDA3RDRCQ6N7E4,Davin,Marks,"Dr. Davin Marks ,PHD",Trans Female,Davin.Marks@pilog.com,Suite 70,8 Cody Place,Juneau,Alaska,99812,United States,Venezuelan,3/24/05,Married,5,OUE5g1RPBB,Human Resources Manager,85850,,4/13/13,790-37-6828,7/12/02,FR24 3216 4027 46JE MTBS E9OQ R65,6.76E+17,maestro,dw6ugwi8fQd0,
DDS,,Mr.,01GY0YYXFQWDN64RZAM7XDT1FY,Ranique,Kendell,"Mr. Ranique Kendell ,DDS",Trans Person,Ranique.Kendell@pilog.com,Room 834,27 8th Street,Sunnyvale,California,94089,United States,Osage,4/22/11,Single,7,O6F2ntXlz,Senior Financial Analyst,92437,,2/24/13,574-35-3984,11/9/20,DO40 O4OW 5081 4893 5640 1764 2385,5.02E+15,maestro,8LmM8Bt,
a,b,c,01GY0YYXFW3G49RFJN4CN045WW,e,f,"Dr. Corabella Lenton ,PHD",Non-binary,g,Apt 106,140 Meadow Ridge Point,,,6533,United States,Costa Rican,10/25/90,Engaged,9,cgVm5tux,VP Sales,54231,,4/3/00,405-72-4906,1/10/16,MU68 TAFF 0273 0331 7069 8560 996W XL,3.59E+15,jcb,kWWoe2ql,
MSW,,Ms,01GY0YYXG1PF66PZQBXZTVDM98,Ag,Lamonby,"Ms Ag Lamonby ,MSW",Agender,Ag.Lamonby@pilog.com,15th Floor,020 Shelley Avenue,Oklahoma City,Oklahoma,73147,United States,Yakama,12/25/80,Engaged,7,iIh6FI,Chief Design Engineer,53679,,1/18/17,182-36-3261,7/19/03,IE79 SGPV 1130 7794 8409 62,3.55E+15,jcb,vVeo52Tb,
IQCP,,Mr.,01GY0YYXG8YGGBK032JDVNQ7EZ,Saloma,Seifert,"Mr. Saloma Seifert ,IQCP",Cis,Saloma.Seifert@pilog.com,5th Floor,0764 Mayer Junction,Charleston,West Virginia,25362,United States,Chinese,12/23/19,Divorced,10,ZAuqZPTSz,Nurse,75801,,8/1/09,705-29-4637,11/13/03,BG82 JQPK 3341 508U VHQP EQ,3.57E+15,jcb,dNDUzqn3oL,
EdD,,Ms,01GY0YYXGC4YEWP9TPDQGWWCQJ,Dur,Parrott,"Ms Dur Parrott ,EdD",Cisgender Man,Dur.Parrott@pilog.com,Suite 99,69367 Mayfield Place,,,13217,United States,Crow,11/4/57,Unknown,9,1rPGG7,Desktop Support Technician,28155,,8/13/01,396-99-4444,11/6/21,AL46 0352 9752 SBIC UAPP SFNZ PAC2,3.53E+15,jcb,qe10eBQjyO,
MFA,Jr,Mr.,01GY0YYXGFT6C71AT3RMEA3MPY,Phaedra,Lisciandri,"Mr. Phaedra Lisciandri Jr,MFA",Androgynous,Phaedra.Lisciandri@pilog.com,Suite 50,03053 Maywood Court,,,95108,United States,Asian Indian,10/14/77,Divorced,10,ueJotIoaH,Help Desk Operator,8987,,5/2/08,107-67-0138,8/31/16,NO76 9998 7392 935,3.57E+15,jcb,vHtw3sA,
IQCP,,Prof.,01GY0YYXGJAG9FPC4MP3FG43QF,Redford,Kobke,"Prof. Redford Kobke ,IQCP",Genderqueer,Redford.Kobke@pilog.com,Apt 1232,0264 Crowley Way,Las Vegas,Nevada,89120,United States,Potawatomi,2/5/69,Unknown,9,jlJEovZO,Safety Technician IV,28289,,6/16/10,779-29-3066,3/24/16,FR92 7717 5179 12ER MAUV QZGE H75,4.04E+15,visa,8A4dU7,
PharmD,,Dr.,01GY0YYXGNMRYFKG7JY1C8Q5JJ,Gisela,Devenish,"Dr. Gisela Devenish ,PharmD",Transgender Man,Gisela.Devenish@pilog.com,Suite 76,6 Leroy Court,,,31904,United States,Black or African American,6/16/21,Divorced,4,80lKK5rzl,Nurse,9618,,10/18/16,717-94-6066,1/26/05,GI04 UHQR 2LYU BKYJ XNWV 288,6.71E+18,laser,lHXhQTI9,
PharmD,,Mr.,01GY0YYXGQTPV3REFKYA832J1M,Brittan,Bebb,"Mr. Brittan Bebb ,PharmD",Transfeminine,Brittan.Bebb@pilog.com,PO Box 55982,52988 Carpenter Drive,,,35810,United States,Lumbee,7/10/64,Divorced,6,pBIsciuy3P,Help Desk Technician,45370,,11/8/22,339-68-6027,10/20/22,BG96 BWJU 3609 87NF BQWJ 5T,3.58E+15,jcb,NcW5RQkNJN,
PHD,II,Ms,01GY0YYXGW9VY89FK6C8W7E1ND,Fredia,Meadmore,"Ms Fredia Meadmore II,PHD",Gender Fluid,Fredia.Meadmore@pilog.com,6th Floor,385 Commercial Hill,Gulfport,Mississippi,39505,United States,Pueblo,2/22/75,Separated,10,5ChDEbZkIJ4,Assistant Media Planner,28354,,4/15/11,813-06-2645,8/2/22,FR80 3798 6359 905D 0EEW YNJ3 A65,3.74E+14,americanexpress,agCKKUvukhd,
MFA,,Prof.,01GY0YYXH1N7CBA1PQKFCTKT8C,Hersch,Runnacles,"Prof. Hersch Runnacles ,MFA",Gender Questioning,Hersch.Runnacles@pilog.com,14th Floor,63 Parkside Trail,Herndon,Virginia,22070,United States,Malaysian,12/16/13,Unknown,5,6EYmwF,Research Assistant III,47643,,7/19/11,100-03-4050,2/9/06,FR14 3241 9894 73CR PAMI HZII 427,3.58E+15,jcb,ZPhhB0b,
PHD,,Ms,01GY0YYXH7XXK2HWBJDGNV5D0C,Karie,Eastam,"Ms Karie Eastam ,PHD",Transgender Man,Karie.Eastam@pilog.com,PO Box 40939,69709 Eagle Crest Crossing,Long Beach,California,90831,United States,Honduran,5/22/63,Unknown,3,Uvn3SdS,Senior Financial Analyst,79339,,10/17/12,688-43-4788,4/9/00,ME47 4055 8023 0921 8489 53,5.02E+18,maestro,6kOYUj2,
MSW,,Prof.,01GY0YYXHC308YZXKP5DHDHK0A,Leoline,Brody,"Prof. Leoline Brody ,MSW",FTM,Leoline.Brody@pilog.com,9th Floor,67256 Sullivan Court,,,63104,United States,Lumbee,2/10/18,Married,1,bdyyfs6CN,VP Accounting,93576,,12/9/09,109-79-3576,7/30/18,AE16 1560 2602 0361 1365 570,5.60E+17,china-unionpay,T2pExINgi,
DPT,,Prof.,01GY0YYXHFRN5XY2CFP017XEMB,Merna,Zoane,"Prof. Merna Zoane ,DPT",Cis,Merna.Zoane@pilog.com,Suite 81,41 Thierer Lane,,,78220,United States,Guamanian,11/11/22,Separated,5,wqK7AZey,Senior Editor,67281,,5/6/16,384-88-7247,6/22/07,MK02 671F YDG4 RI78 G53,3.68E+13,diners-club-international,llolaXoaOjKF,
PsyD,,Ms,01GY0YYXHHPAQRJWEJBA1ZFS8A,Maryanna,Arnet,"Ms Maryanna Arnet ,PsyD",Cis Man,Maryanna.Arnet@pilog.com,Suite 9,00623 Lyons Trail,,,97206,United States,Pakistani,11/13/17,Married,7,rzjMdT7r,Executive Secretary,78670,,1/22/06,175-55-6708,1/25/09,DE75 2100 4802 1245 2243 65,3.54E+15,jcb,IeVb5FTiJ,
MFA,,Dr.,01GY0YYXHPX566A5QSAS03RCXY,Beniamino,Santhouse,"Dr. Beniamino Santhouse ,MFA",Transfeminine,Beniamino.Santhouse@pilog.com,Apt 1655,160 Westerfield Park,Reno,Nevada,89550,United States,Ute,11/13/92,Unknown,5,UD4OaAra,Product Engineer,42187,,4/24/16,525-74-1572,5/19/17,SA88 10FO QQ1F O5YB YCPI BQSJ,3.58E+15,jcb,Um6p1gsEgZd9,
PharmD,,Mr.,01GY0YYXHV2QMXZ8EJZ9YFPKAP,Bryna,Fairhall,"Mr. Bryna Fairhall ,PharmD",Transgender Man,Bryna.Fairhall@pilog.com,PO Box 85321,350 Golf Course Avenue,Oklahoma City,Oklahoma,73157,United States,Costa Rican,3/8/73,Married,6,gNMNGgFGAAP8,Research Assistant III,29309,,4/25/02,226-24-1618,12/10/10,FR02 7968 8072 73B8 XWUP P2KS Z19,3.57E+15,jcb,ne5Q5Yd1U,
PHD,,Dr.,01GY0YYXJ0XMRC1RHWC7STYSW1,Gerick,Palphramand,"Dr. Gerick Palphramand ,PHD",Transsexual Man,Gerick.Palphramand@pilog.com,PO Box 91590,4525 Cambridge Street,Phoenix,Arizona,85010,United States,Chinese,2/27/88,Unknown,1,MEZbeuNZNY,Environmental Specialist,22046,,10/28/17,417-47-6549,4/21/14,KW24 AFOV 1BA5 NMQE G85A S1IG 9VDE KO,3.55E+15,jcb,goHh6pXe,
MSW,,Ms,01GY0YYXJ5YMGJJ0CAWN2JZWY1,Tomas,Atack,"Ms Tomas Atack ,MSW",Cisgender Man,Tomas.Atack@pilog.com,7th Floor,8691 Heffernan Parkway,Louisville,Kentucky,40220,United States,Japanese,5/2/84,Unknown,4,l7QWmSsU5S,Internal Auditor,54542,,1/26/07,635-22-8352,7/15/19,FR90 8446 0140 74KC JGRX LB7P C11,2.02E+14,diners-club-enroute,mQQuJTEtziNT,
DPT,,Dr.,01GY0YYXJ8MFVPRXX2Q0Q8AZBY,Arlina,Cancott,"Dr. Arlina Cancott ,DPT",Transfeminine,Arlina.Cancott@pilog.com,Suite 36,38731 Kenwood Junction,,,23663,United States,Creek,12/17/11,Separated,10,Ae2IfT,Cost Accountant,97273,,7/24/19,593-97-9773,7/5/14,KZ88 549Z K7CH BLFF UHYX,3.59E+15,jcb,YYTOjE,
DPT,,Mr.,01GY0YYXJBA0C61ZD6FF9ZZWTR,Marje,Turnpenny,"Mr. Marje Turnpenny ,DPT",Cisgender Male,marje.turnpenny@pilog.com,PO Box 44662,47 Stang Court,Arlington,Virginia,22244,United States,Menominee,6/22/63,Unknown,5,elrhVXtt2o,Project Manager,83925,,8/15/15,270-56-8733,11/11/19,GE92 ZR94 5350 3883 8156 20,3.38E+14,americanexpress,W9jswiQpakm,
MPHIL,Jr,Dr.,01GY0YYXJEV493ASGB0NWDTP99,Muffin,Scandred,"Dr. Muffin Scandred Jr,MPHIL",Gender Variant,Muffin.Scandred@pilog.com,4th Floor,65285 Sheridan Junction,,,11241,United States,Melanesian,9/3/74,Married,9,1wC8gJDUhzuu,Nurse Practicioner,83131,,11/24/20,128-70-4707,12/22/13,BE14 1190 4838 1244,3.53E+15,jcb,TEVUKW0G5,
MFA,,Prof.,01GY0YYXJHEV95VQ0P1X3X7G1J,Robinia,Woodier,"Prof. Robinia Woodier ,MFA",Gender Nonconforming,robinia.woodier@pilog.com,Apt 116,8129 Sunnyside Circle,Kansas City,Missouri,64193,United States,Potawatomi,1/4/19,Engaged,7,FftVr5D,Food Chemist,67263,,6/24/15,254-57-9675,6/29/12,FI19 5736 4978 3724 21,5.01E+15,mastercard,lQpTJyf,
MFA,II,Mr.,01GY0YYXJMX5B3WYZABV465HSA,Alexis,Bowdrey,"Mr. Alexis Bowdrey II,MFA",Non-binary,Alexis.Bowdrey@pilog.com,8th Floor,2 Almo Plaza,,,34276,United States,Mexican,1/23/68,Single,6,wmLO2aTw,Automation Specialist II,17081,,6/21/11,515-81-1954,11/28/03,FR51 1447 7104 21N3 FYOT NKRV 199,6.71E+15,laser,8vm6rhbDD,
PharmD,,Prof.,01GY0YYXJQFH6W0J1K3F8JFKG5,Clementina,Putt,"Prof. Clementina Putt ,PharmD",Androgynous,clementina.putt@pilog.com,PO Box 15005,9439 Cottonwood Avenue,Huntington,West Virginia,25726,United States,Alaskan Athabascan,12/9/84,Married,5,6vftOtiIB2z,Account Coordinator,40111,,12/7/06,788-48-1276,9/14/20,FR19 5202 6625 02NM YIXQ HYTG J55,4.41E+15,visa-electron,AuDYOO,
DDS,,Mr.,01GY0YYXJTDFZYTS04C7NTK6DM,Tammy,Espinola,"Mr. Tammy Espinola ,DDS",Cis Man,tammy.espinola@pilog.com,Suite 68,58 Alpine Parkway,Baltimore,Maryland,21290,United States,Chickasaw,4/14/20,Married,9,nGKxilncn,Geologist III,90606,,11/10/10,742-77-6928,4/30/19,FR32 0622 8843 04LN MNJ0 DSFJ W45,4.91E+17,switch,U6RLK8WG,
MPHIL,,Mr.,01GY0YYXJXHBD3PXPACRTSJVZ4,Kerrie,Petrov,"Mr. Kerrie Petrov ,MPHIL",Gender Fluid,kerrie.petrov@pilog.com,Apt 1362,444 Chinook Junction,Austin,Texas,78703,United States,Asian Indian,11/3/53,Unknown,6,pK08dvc,Account Coordinator,32951,,5/21/11,869-42-1784,9/26/05,AZ04 WXBU 0NOT BIVI TBJ5 GDEV 6YH8,3.54E+15,jcb,9uZtTAX4DG,
IQCP,,Ms,01GY0YYXK0ZDP95N9QVW5KP8P3,Kira,Pellingar,"Ms Kira Pellingar ,IQCP",Transsexual Woman,Kira.Pellingar@pilog.com,Apt 1515,3 Oneill Drive,,,46266,United States,Japanese,2/15/71,Single,3,hcM9G9QFs,Systems Administrator II,6983,,5/31/06,131-28-2347,1/27/14,EE95 4796 8856 4631 7500,3.58E+15,jcb,uiILdo1,
DPT,,Mr.,01GY0YYXK30ZD18HRMH4GCQ69G,Karie,Collaton,"Mr. Karie Collaton ,DPT",Trans,karie.collaton@pilog.com,Apt 1212,9604 Quincy Place,El Paso,Texas,79940,United States,Osage,10/11/76,Unknown,9,ZsdRnXxUUf,Professor,82441,,9/1/09,485-97-9315,11/15/00,FO32 8743 5535 9645 29,2.02E+14,diners-club-enroute,G5mRXVNhSFU,
DPT,,Ms,01GY0YYXK6SKBYKZB8F749NTPM,Ellis,Murdoch,"Ms Ellis Murdoch ,DPT",Trans Female,ellis.murdoch@pilog.com,PO Box 62457,4 East Court,Duluth,Georgia,30195,United States,Kiowa,1/16/86,Married,2,Axld65E,Tax Accountant,80073,,5/22/18,686-40-4774,8/2/05,NL64 FTOW 9716 9724 04,5.89E+18,maestro,7U2sNFxv2Llj,
DPT,,Mr.,01GY0YYXK97PWE7A7XHHMBCRJG,Charil,Bradly,"Mr. Charil Bradly ,DPT",Transgender Woman,charil.bradly@pilog.com,15th Floor,89507 Manufacturers Center,Phoenix,Arizona,85010,United States,Pueblo,9/16/20,Married,9,IgUdi7Wk,Nurse,43015,,8/19/12,393-86-1073,8/29/13,AZ05 VPHR Q2OZ BHXU 17LP MWRA AAMK,3.75E+14,americanexpress,lG6EXULfJfFn,
PharmD,,Mr.,01GY0YYXKCG4YA8D9K5WQ0F551,Tootsie,Pyer,"Mr. Tootsie Pyer ,PharmD",Bigender,tootsie.pyer@pilog.com,Suite 28,6790 Maywood Street,San Antonio,Texas,78205,United States,Alaskan Athabascan,7/7/80,Separated,9,AdqeeLacilI,Dental Hygienist,53645,,3/20/09,624-64-4584,8/25/16,HU79 2078 2024 0129 4704 1230 6711,6.77E+18,laser,a2OA0vVwQMvb,
MSW,,Mr.,01GY0YYXKFMDNM86EB74AG6EQS,Fanchette,Crosher,"Mr. Fanchette Crosher ,MSW",Male to Female,fanchette.crosher@pilog.com,PO Box 47466,8 Manitowish Alley,Seattle,Washington,98115,United States,Laotian,9/13/82,Engaged,10,FEbSXkO,Tax Accountant,2597,,11/16/21,162-71-6788,9/8/03,KZ36 4661 EIOB 75EZ 0LDA,6.76E+15,switch,A57PSJAnATL,
MFA,,Mr.,01GY0YYX7ZMM7PZP0KGF2AY4X0,Karlan,Sirrell,"Mr. Karlan Sirrell ,MFA",Neutrois,Karlan.Sirrell@pilog.com,Room 1838,82522 Harbort Court,,,10029,United States,Asian Indian,1/6/07,Unknown,3,PwGzn8ZGCbaB,Software Consultant,93560,,7/10/17,150-47-7402,12/11/16,TN98 2280 0812 4899 3560 7921,3.57E+15,jcb,15XaV2kj7yc,
MFA,,Ms,01GY0YYX8A6NCPSH44BCTGKX2W,Win,Sherborn,"Ms Win Sherborn ,MFA",Neither,win.sherborn@pilog.com,Suite 89,4304 Westerfield Alley,Madison,Wisconsin,53726,United States,Fijian,8/18/83,Single,8,3fvsxv,Assistant Manager,26457,,6/29/10,546-83-4288,8/19/04,PK34 MMEH BPTX UNYQ J0GT JEU1,3.55E+15,jcb,tyAO7H09,
MSW,,Ms,01GY0YYX8HYNZZNFHCE248T9XS,Alma,Ricson,"Ms Alma Ricson ,MSW",Transsexual,Alma.Ricson@pilog.com,4th Floor,8 Summerview Pass,,,73142,United States,Argentinian,10/14/08,Engaged,1,dFV8wPlLUTPY,Professor,69229,,9/13/01,561-81-9583,11/9/14,FR86 3798 8142 92ZP LWI7 SGCL N83,3.56E+15,jcb,v97n4VvDUNy,
IQCP,,Ms,01GY0YYX8N070484G7ASRZ480Q,Enrichetta,Halford,"Ms Enrichetta Halford ,IQCP",Gender Nonconforming,Enrichetta.Halford@pilog.com,Suite 96,16 Sommers Avenue,,,76711,United States,American Indian,6/22/63,Engaged,9,zFur3Ld,Web Developer IV,93362,,5/30/05,747-41-7372,1/20/10,DO86 W2KD 8749 0976 5611 0205 4221,3.55E+15,jcb,7m1MsANL,
PsyD,,Ms,01GY0YYX8RE26XQDAXBR5TYENH,Mahala,Fydoe,"Ms Mahala Fydoe ,PsyD",Cis Man,Mahala.Fydoe@pilog.com,Room 528,69 Paget Trail,,,85072,United States,Ecuadorian,1/5/65,Divorced,8,rKYDakWEcelS,Professor,99634,,5/30/10,624-13-0631,9/24/03,HU71 9195 7082 0079 4360 6352 4406,3.56E+15,jcb,1pH8ed7P3MB,
DDS,II,Dr.,01GY0YYX8VZ1KH94B93ZMG2652,Cahra,Martinuzzi,"Dr. Cahra Martinuzzi II,DDS",Cisgender,Cahra.Martinuzzi@pilog.com,5th Floor,297 Maple Wood Terrace,,,20425,United States,Paiute,1/8/21,Engaged,10,f3u9VCF1J,Structural Engineer,12899,32793,2/4/12,192-99-1607,8/8/21,CZ29 0195 2301 6179 9845 4590,3.57E+15,jcb,YJouOwP,
PsyD,,Mr.,01GY0YYX8ZTTWTFYEBP8PDG4TJ,Renaldo,Dewdney,"Mr. Renaldo Dewdney ,PsyD",Transmasculine,Renaldo.Dewdney@pilog.com,Apt 1555,978 Stephen Lane,,,31132,United States,Kiowa,5/7/59,Engaged,7,3yOvqZaOQ2W,Financial Advisor,22898,73316,11/26/18,367-71-6158,1/3/07,DE35 6798 9404 0719 0587 05,5.01E+15,mastercard,FSCjdrH2,
PHD,Jr,Prof.,01GY0YYX92507FY5KS50F8B5KF,Dorri,Divisek,"Prof. Dorri Divisek Jr,PHD",Cisgender Man,dorri.divisek@pilog.com,PO Box 71907,30697 Springs Circle,Huntington,West Virginia,25770,United States,Spaniard,3/16/13,Divorced,4,OrQdLqq,VP Accounting,74929,19704,4/11/22,235-34-8274,10/7/02,FR92 0146 4735 52BQ 0DW2 SQOY K11,6.76E+15,maestro,ind9wL,
MPHIL,,Dr.,01GY0YYX95YP8RY3KA04M55TN9,Gabriele,Allabush,"Dr. Gabriele Allabush ,MPHIL",Neither,Gabriele.Allabush@pilog.com,Apt 1188,9116 Grover Terrace,,,70820,United States,Salvadoran,4/10/97,Single,1,2EDMeoJ,Senior Cost Accountant,85296,66558,6/27/14,657-04-5668,5/28/04,RS13 5663 8272 2769 3934 79,5.17E+15,mastercard,D5E75vzr,
EdD,,Ms,01GY0YYX988GBQFTFXRRGPZ3W0,Gertie,Sharpin,"Ms Gertie Sharpin ,EdD",Cis,Gertie.Sharpin@pilog.com,Apt 519,094 Holy Cross Trail,,,33448,United States,Bangladeshi,4/22/94,Engaged,5,m1GWDk,Recruiter,81291,78841,7/29/16,520-43-5954,1/9/04,VG41 PZKL 4490 9439 0254 3229,3.56E+15,jcb,itapGjQVU,
PHD,III,Mr.,01GY0YYX9B05K8HJGM7H2EBJKX,Dorthea,Caddy,"Mr. Dorthea Caddy III,PHD",Trans Man,Dorthea.Caddy@pilog.com,9th Floor,37345 Pond Center,,,19178,United States,Alaskan Athabascan,3/7/87,Separated,2,lv8Za9pD,VP Sales,43422,71223,12/23/03,535-05-0166,5/25/17,FR02 8217 3378 56FE F1DC FKAN P18,4.57E+15,visa,aAQ8EQg,
